source_tx,sort_nu,category_name,rest_layer_name,label_tx,field_nm,statistic_cd,units_tx,description_tx
Service2016,19,Pollutant Reduction: Water,Cultivated biological nitrogen fixation (kg N/ha/yr) (18) ,Biological nitrogen fixation - cultivated,CBNF_Mean,average,kg-N/ha per year,Mean rate of cultivated biological nitrogen fixation in kg N/ha/yr per 12-digit HUC for 2006
Service2016,20,Water Use,Domestic water use (million gallons/day) (19) ,Domestic water use (million gallons/day),DWD_mgal,sum,million gallons per day,"This map estimates the millions of gallons of water used daily for domestic purposes in each subwatershed (HUC-12). For the purposes of this map, domestic or residential water use includes all indoor and outdoor uses, such as for drinking, bathing, cleaning, landscaping, and pools for primary residences."
Service2016,21,Engagement with Outdoors,Freshwater fishing recreation demand (20) ,Freshwater fishing recreation demand,FF_Demand,sum,number per year,This map illustrates the number of day trips per year demanded for freshwater fishing by individuals over the age of 18 within each subwatershed (12-digit HUC) for 2010-2011.
Service2016,22,Crop Productivity ,Fruit yields (thousand tons/yr) (21) ,Fruit yields (thousand tons/yr),FRUITYIELD,sum,thousands of tons per year,This map depicts the thousands of tons of fruit crops that are grown annually within each subwatershed (12-digit HUC).
Service2016,23,Crop Productivity ,Grain yields (thousand tons/yr) (22) ,Grain yields (thousand tons/yr),GRAIN_KTONS,sum,thousands of tons per year,This map depicts the thousands of tons of major grain crops that are grown annually within each subwatershed (12-digit HUC).
Service2016,24,Crop Productivity ,Hectares of cotton crops (23) ,Hectares of cotton crops,COT_HA,sum,hectares,This map depicts the total hectares managed for cotton crops annually within each subwatershed (12-digit HUC).
Service2016,25,Crop Productivity ,Hectares of fruit crops (24) ,Hectares of fruit crops,FRUITHECTARES,sum,hectares,This map depicts the total hectares managed for fruit crops annually within each subwatershed (12-digit HUC).
Service2016,26,Crop Productivity ,Hectares of grain crops (25) ,Hectares of grain crops,GRAIN_HA,sum,hectares,This map depicts the total hectares managed for major grain crops annually within each subwatershed (12-digit HUC).
Service2016,27,Crop Productivity ,Hectares of vegetable crops (26) ,Hectares of vegetable crops,VEGHECTARES,sum,hectares,This map depicts the total hectares managed for vegetable crops annually within each subwatershed (12-digit HUC).
Service2016,28,Pollutants: Nutrients,Manure application (kg N/ha/yr) (27) ,Manure Application to agricultural lands from confined animal feeding operations,ManureMean,average,kg-N/ha per year,This map depicts the mean rate of manure application to agricultural lands from confined animal feeding operations within each subwatershed (12-digit HUC) in kg N/ha/yr for 2006.
Service2016,29,Species: Other,Maximum amphibian species richness (28) ,Maximum number of amphibian species,AMPH_MAX,sum,count per pixel,The maximum number of amphibian species in any one pixel for each 12-digit HUC over the entire Southwest Region
Service2016,30,N/A,Maximum bat species richness (29) ,Maximum number of bat species,N/A,sum,count ,The maximum number of bat species in any one pixel for each 12-digit HUC over the entire Southeast Region
Service2016,31,Species: Other,Maximum big game species richness (30) ,Maximum number of big game species,BIGGA_MAX,sum,count per pixel,The maximum number of big game species in any one pixel for each 12-digit HUC over the entire Southwest Region
Service2016,32,Species: Other,Maximum bird species richness (31) ,Maximum number of bird species,Bird_All_MAX,sum,count per pixel,The maximum number of bird species in any one pixel for each 12-digit HUC over the entire contiguous US.
Service2016,33,Species: Other,Maximum fur bearer species richness (32) ,Fur bearer species richness,FURB_MAX,sum,count per pixel,"These maps model fur bearer species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US as the maximum, mean, or NIB (index). These maps are based on habitat models, not wildlife observations."
Service2016,34,N/A,Maximum land cover diversity (33) ,N/A,N/A,N/A,N/A,N/A
Service2016,35,Species: Other,Maximum mammal species richness (34) ,Maximum mammal species richness,MAM_MAX,sum,count per pixel,"These maps model mammal species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US as the maximum, mean, or NIB (index). These maps are based on habitat models, not wildlife observations."
Service2016,36,Species: At-Risk and Priority,Maximum modeled Partners in Flight Watch List bird species (35) ,Maximum number of Partners in Flight in their Watch List bird species,Bird_PIF_MAX,sum,count per pixel,The maximum number of bird species listed by Partners in Flight in their Watch List in any one pixel for each 12-digit HUC over the contiguous US.
Service2016,37,Species: At-Risk and Priority,Maximum modeled State of the Birds species of conservation concern (36) ,Maximum number of birds listed in the State of the Birds report (2011) as species of conservation concern,Bird_BCC_MAX,sum,count per pixel,The maximum number of birds listed in the State of the Birds report (2011) as species of conservation concern in any one pixel for each 12-digit HUC over the contiguous US.
Service2016,38,Species: At-Risk and Priority,Maximum modeled threatened and endangered vertebrate species (37) ,Maximum number of federal threatened and endangered species,TE_MAX,sum,count per pixel,The maximum number of federal threatened and endangered species in any one pixel for each 12-digit HUC over the entire Southwest Region
Service2016,39,Species: At-Risk and Priority,Maximum number of bird species vulnerable to range loss due to climate change by 2050 (38) ,Number of bird species vulnerable to range loss due to climate change by 2050,Bird_Aud_end_MAX,sum,count per pixel,"This map models the maximum number of Audubon Climate Endangered bird species (https://climate.audubon.org/) that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2015. These are bird species vulnerable to a loss of 50% or more of current range due to climate change by 2050. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,40,Species: At-Risk and Priority,Maximum number of bird species vulnerable to range loss due to climate change by 2080 (39) ,Number of bird species vulnerable to range loss due to climate change by 2080,Bird_Aud_thr_MAX,sum,count per pixel,"This map models the maximum number of Audubon Climate Threatened bird species (https://climate.audubon.org/) that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2015. These are bird species vulnerable to a loss of 50% or more of current range due to climate change by 2080. This map is based on habitat models, not wildlife observations. The maximum number does not represent the potential richness for the entire watershed."
Service2016,41,Species: Other,Maximum reptile species richness (40) ,Maxium Number of Reptile species,Rep_All_MAX,sum,count per pixel,The maximum number of Reptile species in any one pixel for each 12-digit HUC over the contiguous US.
Service2016,42,Species: Other,Maximum small game species richness (41) ,Maximum number of small game species,SMGA_MAX,sum,count per pixel,The maximum number of small game species in any one pixel for each 12-digit HUC over the entire Southwest Region
Service2016,43,Species: Other,Maximum total harvestable species richness (42) ,Total harvestable species richness,HARV_MAX,sum,count per pixel,"These maps model harvestable species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US as the maximum, mean, or NIB (index). These maps are based on habitat models, not wildlife observations."
Service2016,44,Species: Other,Maximum total vertebrate species richness (43) ,Maximum number of terrestrial vertebrate species,TerrVert_Max,sum,count per pixel,The maximum number of terrestrial vertebrate species in any one pixel for each 12-digit HUC over the entire Southwest Region
Service2016,45,Species: Other,Maximum waterfowl species richness (44) ,Maximum number of waterfowl species,WTFL_MAX,sum,count per pixel,The maximum number of waterfowl species in any one pixel for each 12-digit HUC over the entire Southwest Region
Service2016,46,Species: Other,Mean amphibian species richness (45) ,Mean number of amphibian species,Amph_Mean,average,count per pixel,The mean number of amhibian species per pixel for each 12-digit HUC over the entire Southwest Region
Service2016,47,N/A,Mean bat species richness (46) ,Mean number of bat species,N/A,average,count per pixel,The mean number of bat species per pixel for each 12-digit HUC over the entire Southwest Region
Service2016,48,Species: Other,Mean big game species richness (47) ,Mean number of big game species,BigGa_Mean,average,count per pixel,The mean number of big game species per pixel for each 12-digit HUC over the entire Southwest Region
Service2016,49,Species: Other,Mean bird species richness (48) ,Mean number of bird species,Bird_All_MEAN,average,count per pixel,The mean number of bird species per pixel for each 12-digit HUC over the contiguous US.
Service2016,50,Species: Other,Mean fur bearer species richness (49) ,Mean number of furbearing species,Furb_Mean,average,count per pixel,The mean number of furbearer species per pixel for each 12-digit HUC over the entire Southwest Region
Service2016,51,N/A,Mean land cover diversity (50) ,N/A,N/A,N/A,N/A,N/A
Service2016,52,Species: Other,Mean mammal species richness (51) ,Mean number of mammal species,Mam_Mean,average,count per pixel,The mean number of mammal species per pixel for each 12-digit HUC over the entire Southwest Region
Service2016,53,Species: At-Risk and Priority,Mean modeled Partners in Flight Watch List bird species (52) ,Mean number of Partners in Flight in their Watch List bird species,Bird_PIF_MEAN,average,count per pixel,The mean number of bird species listed by Partners in Flight in their Watch List per pixel for each 12-digit HUC over the contiguous US.
Service2016,54,Species: At-Risk and Priority,Mean modeled State of the Birds species of conservation concern (53) ,Mean number of birds listed in the State of the Birds report (2011) as species of conservation concern,Bird_BCC_MEAN,average,count per pixel,The mean number of bird species listed in the State of the Birds report (2011) as species of conservation concern per pixel for each 12-digit HUC over the contiguous US.
Service2016,55,Species: At-Risk and Priority,Mean modeled threatened and endangered vertebrate species (54) ,Mean number of federal threatened and endangered species,TE_Mean,average,count per pixel,The mean number of federal threatened and endangered species per pixel for each 12-digit HUC over the entire Southwest Region
Service2016,56,Species: At-Risk and Priority,Mean number of bird species vulnerable to range loss due to climate change by 2050 (55) ,Mean number of bird species vulnerable to range loss due to climate change by 2050,Bird_Aud_end_MEAN,average,count per pixel,"This map models the mean number of Audubon Climate Endangered bird species (https://climate.audubon.org/) that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2015. These are bird species vulnerable to a loss of 50% or more of current range due to climate change by 2050. This map is based on habitat models, not wildlife observations. "
Service2016,57,Species: At-Risk and Priority,Mean number of bird species vulnerable to range loss due to climate change by 2080 (56) ,Mean number of bird species vulnerable to range loss due to climate change by 2080,Bird_Aud_thr_MEAN,average,count per pixel,"This map models the mean number of Audubon Climate Threatened bird species (https://climate.audubon.org/) that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2015. These are bird species vulnerable to a loss of 50% or more of current range due to climate change by 2080. This map is based on habitat models, not wildlife observations. "
Service2016,58,Species: Other,Mean reptile species richness (57) ,Mean number of reptile species richness,Rep_All_MEAN,average,count,"These maps model reptile species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US as the maximum, mean, or NIB (index). These maps are based on habitat models, not wildlife observations."
Service2016,59,Species: Other,Mean small game species richness (58) ,Mean number of small game species,SMGA_Mean,average,count per pixel,The mean number of small game species per pixel for each 12-digit HUC over the entire Southwest Region
Service2016,60,Species: Other,Mean total harvestable species richness (59) ,Mean number of harvestable species,Harv_Mean,average,count per pixel,The mean number of harvestable species per pixel for each 12-digit HUC over the entire Southwest Region
Service2016,61,Species: Other,Mean total vertebrate species richness (60) ,Mean number of terrestrial vertebrate species,TerrVert_Mean,average,count per pixel,The mean number of terrestrial vertebrate species per pixel for each 12-digit HUC over the entire Southwest Region
Service2016,62,Species: Other,Mean waterfowl species richness (61) ,Mean number of waterfowl species,Wtfl_Mean,average,count per pixel,The mean number of waterfowl species per pixel for each 12-digit HUC over the entire Southwest Region
Service2016,63,Engagement with Outdoors,Migratory bird hunting recreation demand (62) ,Migratory bird hunting recreation demand,MB_Demand,sum,number per year,This map illustrates the number of day trips per year demanded for migratory bird hunting by individuals over the age of 18 within each subwatershed (12-digit HUC) for 2010-2011.
Service2016,64,Pollutant Reduction: Water,Natural biological nitrogen fixation (kg N/ha/yr) (63) ,Natural biological nitrogen fixation ,BNF,average,kg-N/ha per year,This map depicts mean biological nitrogen fixation in natural and semi-natural ecosystems within each subwatershed (12-digit HUC) in kg N/ha/yr.
Service2016,65,Species: Other,NIB amphibian species richness (64) ,Index of amphibian species,Amph_NIB,average,unitless,The index of average (mean number of amphibian species per pixel divided by the maximum number of amphibian species in any one pixel for the entire study area) for each 12-digit HUC over the entire Southwest Region
Service2016,66,N/A,NIB bat species richness (65) ,N/A,N/A,N/A,N/A,N/A
Service2016,67,Species: Other,NIB big game species richness (66) ,Index of big game species,BigGa_NIB,average,unitless,The index of average (mean number of big game species per pixel divided by the maximum number of big game species in any one pixel for the entire study area) for each 12-digit HUC over the entire Southwest Region
Service2016,68,Species: Other,NIB bird species richness (67) ,Index of bird species,Bird_All_NIB,average,unitless,The Bird All Normalized Index of Biodiversity (NIB) was calculated by dividing the mean species richness value of each HUC by the maximum value for the study area (the contiguous US).
Service2016,69,Species: Other,NIB fur bearer species richness (68) ,Index of furbearing species,Furb_NIB,average,unitless,The index of average (mean number of furbearer species per pixel divided by the maximum number of furbearer species in any one pixel for the entire study area) for each 12-digit HUC over the entire Southwest Region
Service2016,70,N/A,NIB land cover diversity (69) ,N/A,N/A,N/A,N/A,N/A
Service2016,71,Species: Other,NIB mammal species richness (70) ,Index of mammal species,Mam_NIB,average,unitless,The index of average (mean number of mammal species per pixel divided by the maximum number of mammal species in any one pixel for the entire study area) for each 12-digit HUC over the entire Southwest Region
Service2016,72,Species: At-Risk and Priority,NIB modeled Partners in Flight Watch List bird species (71) ,Index of Bird Partners in Flight Normalized Index of Biodiversity bird species,Bird_PIF_NIB,average,unitless,The Bird Partners in Flight Normalized Index of Biodiversity (NIB) was calculated by dividing the mean species richness value of each HUC by the maximum value for the study area (the contiguous US).
Service2016,73,Species: At-Risk and Priority,NIB modeled State of the Birds species of conservation concern (72) ,Index of Bird of Conservation Concern species,Bird_BCC_NIB,average,unitless,The Bird of Conservation Concern Normalized Index of Biodiversity (NIB) was calculated by dividing the mean species richness value of each HUC by the maximum value for the study area (the contiguous US).
Service2016,74,Species: At-Risk and Priority,NIB modeled threatened and endangered vertebrate species (73) ,Index of federal threatened and endangered species,TE_NIB,average,unitless,The index of average (mean number of federal threatened and endangered species per pixel divided by the maximum number of federal threatened and endangered species in any one pixel for the entire study area) for each 12-digit HUC over the entire Southwest Region
Service2016,75,Species: At-Risk and Priority,NIB number of bird species vulnerable to range loss due to climate change by 2050 (74) ,Index of bird species vulnerable to range loss due to climate change by 2050,Bird_Aud_end_NIB,average,unitless,"This map models the NIB of Audubon Climate Endangered bird species (https://climate.audubon.org/) that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2015. These are bird species vulnerable to a loss of 50% or more of current range due to climate change by 2050. This map is based on habitat models, not wildlife observations."
Service2016,76,Species: At-Risk and Priority,NIB number of bird species vulnerable to range loss due to climate change by 2080 (75) ,Index of bird species vulnerable to range loss due to climate change by 2080,Bird_Aud_thr_NIB,average,unitless,"This map models the NIB of Audubon Climate Threatened bird species (https://climate.audubon.org/) that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US for 2015. These are bird species vulnerable to a loss of 50% or more of current range due to climate change by 2080. This map is based on habitat models, not wildlife observations. "
Service2016,77,Species: Other,NIB reptile species richness (76) ,Index of reptile species richness,Rep_All_NIB,average,unitless,"These maps model reptile species that are likely to be present in any single location within a subwatershed (12-digit HUC) in the Conterminous US as the maximum, mean, or NIB (index). These maps are based on habitat models, not wildlife observations."
Service2016,78,Species: Other,NIB small game species richness (77) ,Index of small game species,SMGA_NIB,average,unitless,The index of average (mean number of small game species per pixel divided by the maximum number of small game species in any one pixel for the entire study area) for each 12-digit HUC over the entire Southwest Region
Service2016,79,Species: Other,NIB total harvestable species richness (78) ,Index of harvestable species,Harv_NIB,average,unitless,The index of average (mean number of harvestable species per pixel divided by the maximum number of harvestable species in any one pixel for the entire study area) for each 12-digit HUC over the entire Southwest Region
Service2016,80,Species: Other,NIB total vertebrate species richness (79) ,Index of terrestrial vertebrate species,TerrVert_NIB,average,unitless,The index of average (mean number of terrestrial vertebrate species per pixel divided by the maximum number of terrestrial vertebrate species in any one pixel for the entire study area) for each 12-digit HUC over the entire Southwest Region
Service2016,81,Species: Other,NIB waterfowl species richness (80) ,Index of waterfowl species,Wtfl_NIB,average,unitless,The index of average (mean number of waterfowl species per pixel divided by the maximum number of waterfowl species in any one pixel for the entire study area) for each 12-digit HUC over the entire Southwest Region
Service2016,82,Species: At-Risk and Priority,Number of at-risk aquatic animal species observed (81) ,Total number of at-risk aquatic species,AQ_TOT,sum,count,"This map illustrates the total number of species associated with aquatic habitat that are listed as G1, G2, or in the federal endangered species program that may reside within each subwatershed (12-digit HUC)."
Service2016,83,Species: At-Risk and Priority,Number of at-risk aquatic plant species observed (82) ,Total number of at-risk wetland species,WT_TOT,sum,count,"This map illustrates the total number of species associated with wetland habitat that are listed as G1, G2, or in the federal endangered species program that may reside within each subwatershed (12-digit HUC). G1 and G2 denote Global Conservation Ranks classified by NatureServe."
Service2016,84,Species: At-Risk and Priority,Number of at-risk terrestrial animal species observed (83) ,Number of at-risk terrestrial animal species,TR_TOT_A,sum,count,"This map illustrates the total number of animal species associated with terrestrial habitat that are listed as G1, G2, or in the federal endangered species program that may reside within each subwatershed (12-digit HUC). G1 and G2 denote Global Conservation Ranks classified by NatureServe. Terrestrial habitat refers to land areas such as forests, grasslands, deserts and rainforests."
Service2016,85,Species: At-Risk and Priority,Number of at-risk terrestrial plant species observed (84) ,Number of at-risk aquatic plant species,AQ_TOT_P,sum,count,"This map illustrates the total number of plant species associated with aquatic habitat that are listed as G1, G2, or in the federal endangered species program that may reside within each subwatershed (12-digit HUC). G1 and G2 denote Global Conservation Ranks classified by NatureServe."
Service2016,86,Species: At-Risk and Priority,Number of at-risk wetland animal species observed (85) ,Number of at-risk wetland animal species,WT_TOT_A,sum,count,"This map illustrates the total number of animal species associated with wetland habitat that are listed as G1, G2, or in the federal endangered species program that may reside within each subwatershed (12-digit HUC) for 2011. G1 and G2 denote Global Conservation Ranks classified by NatureServe."
Service2016,87,Species: At-Risk and Priority,Number of at-risk wetland plant species observed (86) ,Number of at-risk wetland plant species,WT_TOT_P,sum,count,"This map illustrates the total number of plant species associated with wetland habitat that are listed as G1, G2, or in the federal endangered species program that may reside within each subwatershed (12-digit HUC) for 2011. G1 and G2 denote Global Conservation Ranks classified by NatureServe."
Service2016,88,Crop Productivity ,Number of fruit crop types (annually) (87) ,Number of CDL Fruit Crops,FRUITCOUNT,sum,count,The number of CDL fruit crop types occuring in the 12-digit HUC
Service2016,89,Crop Productivity ,Number of grain crop types (annually) (88) ,Number of Grain Crops,GRAIN_COUN,sum,count,"Number of grain crops ( corn, barley, cotton, durum wheat, oats, rye, rice, sorghum, spring wheat, soybeans, and winter wheat) grown in the 12-digit HUC annually"
Service2016,90,"Water Supply, Runoff, and Flow",Number of high hazard potential dams (89) ,Number of high hazard potential dams,NIDamCount,sum,count,"This map depicts the number of high hazard potential dams within each subwatershed (12-digit HUC). For this map, EnviroAtlas uses the 2009 National Inventory of Dams maintained by the US Army Corps of Engineers."
Service2016,91,Engagement with Outdoors,Number of historic places (90) ,Historical Features Total,Total_Hist,sum,count,Total number of all historical features.
Service2016,92,Crop Productivity ,Number of vegetable crop types (annually) (91) ,Amout of Vegetables produced,VEGYIELDTONS,sum,tons per year,The amount of vegetables produced yearly in tons per 12-digit HUC.
Service2016,93,Wetlands and Lowlands,Percent agriculture on hydric soil (92) ,Percent agriculture on hydric soil ,PAGHYD80,average,%,"This map depicts the percentage of land managed for agriculture that has hydric soils within each subwatershed (12-digit HUC). This includes all land dedicated to the production of crops, but excludes land managed for pasture."
Service2016,94,Land Cover: Type,Percent cropland (93) ,Percent cropland,PAGC,average,%,"This map depicts the percent of land managed as cropland in each subwatershed (12-digit HUC). For this map, EnviroAtlas uses all crop types in the Cropland Data Layer created by the United States Department of Agriculture."
Service2016,95,Land Cover: Type,Percent developed area (94) ,Percent developed area,PDEV,average,%,"This map estimates the amount of developed land within each subwatershed (12-digit HUC) for 2011. For the purposes of this map, developed land cover includes a variety of development, such as single family homes, multifamily housing units, retail, commercial, industrial sites, and associated infrastructure. Developed land cover is not confined to city limits."
Service2016,96,Land Cover: Type,Percent emergent herbaceous wetlands (95) ,Percent emergent herbaceous wetlands,PWETL95,average,%,"This map depicts the percent of land comprised of emergent herbaceous wetlands in each subwatershed (12-digit HUC). For this map, EnviroAtlas uses the National Land Cover Database and its definition of  emergent herbaceous wetlands."
Service2016,97,Land Cover: Type,Percent forest (96) ,Percent forest,PFOR,average,%,This map illustrates the percentage of total land within each subwatershed (12-digit HUC) that is covered by trees and forest.
Service2016,98,Land Cover: Type,Percent forest and woody wetlands (97) ,Percent forest and woody wetlands,PFOR90,average,%,This map illustrates the percentage of total land within each subwatershed (12-digit HUC) that is covered by trees and forest or woody wetlands. EnviroAtlas uses the National Land Cover Database definition of woody wetlands.
Service2016,99,Land Cover: Near-Water,Percent forest and woody wetlands in stream buffer (98) ,Percent forest and woody wetlands in stream buffer,RFOR9030,average,%,"This EnviroAtlas national map portrays the percent of land within 45 meters of streams, rivers, and other hydrologically-connected waterbodies (e.g., lakes and ponds) covered by forest and woody wetlands within each 12-digit hydrologic unit (HUC)."
Service2016,100,Land Cover: Near-Water,Percent forest land in stream buffer (99) ,Percent forest land in stream buffer,RFOR30,average,%,"This EnviroAtlas national map portrays the percent of land within 45 meters of streams, rivers, and other hydrologically-connected waterbodies (e.g., lakes and ponds) covered by forest within each 12-digit hydrologic unit (HUC)."
Service2016,101,Protected Lands,Percent GAP status 1 and 2 (100) ,Percent GAP status 1 and 2,PGAPSTAT1_2,average,%,"This map illustrates the percent of land within a subwatershed (12-digit HUC) that is designated as Status 1 or 2 under the USGS Gap Analysis Program. These lands have permanent protections in place limiting visitation, use, and human impacts. Lands with status 1 have more restrictions in place to minimize disturbance and maintain the land's natural state."
Service2016,102,Protected Lands,"Percent GAP status 1, 2, and 3 (101) ","Percent GAP status 1, 2, and 3",PGAPSTAT123,average,%,This map illustrates the percent of land within subwatershed (12-digit HUC) that has legally recognized easements for conservation or other protections in place to restrict human use or development. This layer includes both public and private land.
Service2016,103,Protected Lands,Percent GAP status 3 (102) ,Percent GAP status 3,PGAPSTAT3,average,%,"This map illustrates the percent of land within a subwatershed (12-digit HUC) that is designated as Status 3 under the USGS Gap Analysis Program. These areas have permanent protection from conversion of natural land cover for the majority of area. Subject to extractive uses of either broad, low-intensity type (e.g.. Logging) or localized intense type (e.g.. Mining). Confers protection to federally listed endangered and threatened species throughout the area."
Service2016,104,Land Cover: Type,Percent impervious area (103) ,Percent impervious area,PIMPV,average,%,"This map illustrates the percent of total land within each subwatershed (12-digit HUC) that is impervious. Impervious surfaces do not allow the penetration of water and include buildings, roads, and sidewalks."
Service2016,105,Protected Lands,Percent IUCN status IA (104) ,Area classified as IUCN category Ia in the Protected Areas,PIUCN_IA,average,%,Percentage of WBD 12-digit Hydrologic Unit that is classified as IUCN category Ia in the Protected Areas Database of the United States (PAD-US) version 1.2 created by USGS GAP.
Service2016,106,Protected Lands,Percent IUCN status IB (105) ,Area classified as IUCN category Ib in the Protected Areas,PIUCN_IB,average,%,Percentage of WBD 12-digit Hydrologic Unit that is classified as IUCN category Ib in the Protected Areas Database of the United States (PAD-US) version 1.2 created by USGS GAP.
